formulation,alpha,seed,J11,J12,J21,J22,sigma_max,rho
unscaled,1.0,0,44.34648836747264,1.7432557988679056,1.8581389966365491,41.555144788948894,39.029089421967235,1.199589729309082
unscaled,1.0,1,38.46309556580954,1.9034920432312428,1.6041318018843902,45.30556477656381,39.94331828850741,0.9532790184020996
unscaled,1.0,2,40.056652558346855,1.994243328613198,1.6460470384284045,47.97307394940843,40.860448277765634,0.9239894151687622
unscaled,0.01,0,44.34648836747264,174.3255798867901,1.8581389966365491,41.555144788948894,178.40984286725063,108.7136001586914
unscaled,0.01,1,38.46309556580954,190.34920432312398,1.6041318018843902,45.30556477656381,193.2105759977385,90.80208587646484
unscaled,0.01,2,40.056652558346855,199.4243328613212,1.6460470384284045,47.97307394940843,201.11624287663116,126.45518493652344
unscaled,0.0001,0,44.34648836747264,17432.557988678956,1.8581389966365491,41.555144788948894,17094.186583860126,18769.564453125
unscaled,0.0001,1,38.46309556580954,19034.920432312614,1.6041318018843902,45.30556477656381,18656.83930834796,39641.53515625
unscaled,0.0001,2,40.056652558346855,19942.43328613211,1.6460470384284045,47.97307394940843,19450.624610693856,4076.666748046875
unscaled,1e-06,0,44.34648836747264,1743255.798867891,1.8581389966365491,41.555144788948894,1709410.8105436368,277596864.0
unscaled,1e-06,1,38.46309556580954,1903492.0432312451,1.6041318018843902,45.30556477656381,1865677.0172906811,475731776.0
unscaled,1e-06,2,40.056652558346855,1994243.32861321,1.6460470384284045,47.97307394940843,1945055.5899306731,65108584.0
scaled_raw,1.0,0,44.34648836747264,1.7432557988679056,1.8581389966365491,41.555144788948894,39.029089421967235,1.199589729309082
scaled_raw,1.0,1,38.46309556580954,1.9034920432312428,1.6041318018843902,45.30556477656381,39.94331828850741,0.9532790184020996
scaled_raw,1.0,2,40.056652558346855,1.994243328613198,1.6460470384284045,47.97307394940843,40.860448277765634,0.9239894151687622
scaled_raw,0.01,0,4.4346488367472965,1.7432557988679056,1.8581389966365491,4.155514478894912,4.300838206806406,2.500678539276123
scaled_raw,0.01,1,3.8463095565809406,1.9034920432312428,1.6041318018843902,4.530556477656367,4.401716705037824,2.0545156002044678
scaled_raw,0.01,2,4.005665255834692,1.994243328613198,1.6460470384284045,4.797307394940846,4.519630100438377,2.260251998901367
scaled_raw,0.0001,0,0.4434648836747289,1.7432557988679056,1.8581389966365491,0.41555144788949,1.8627652731260462,0.13845528662204742
scaled_raw,0.0001,1,0.3846309556580972,1.9034920432312428,1.6041318018843902,0.4530556477656384,1.9075294252049861,0.10520771145820618
scaled_raw,0.0001,2,0.40056652558347017,1.994243328613198,1.6460470384284045,0.4797307394940825,1.9872440674336431,0.23365561664104462
scaled_raw,1e-06,0,0.044346488367472736,1.7432557988679056,1.8581389966365491,0.04155514478894924,1.8222135497867515,0.13063715398311615
scaled_raw,1e-06,1,0.038463095565809464,1.9034920432312428,1.6041318018843902,0.045305564776563875,1.8661000458367187,0.3652735650539398
scaled_raw,1e-06,2,0.040056652558346936,1.994243328613198,1.6460470384284045,0.04797307394940817,1.945481933906167,0.016522642225027084
