snapshot,formulation,alpha,kappa_mean,kappa_std
0,unscaled,1.0,8.293328436627751e+19,6.686798050898823e+18
0,unscaled,0.01,4.758710045406091e+21,3.9831739207738176e+20
0,unscaled,0.0001,1.0875862801522379e+27,2.9300437342981282e+26
0,unscaled,1e-06,1.92052381650252e+31,5.898183139044186e+30
0,unscaled,1e-08,1.6754131445262435e+35,1.6608511181338377e+34
0,scaled,1.0,8.293328436627751e+19,6.686798050898823e+18
0,scaled,0.01,6.023579680324233e+21,5.4630803914468714e+20
0,scaled,0.0001,8.570099634816043e+24,7.520933215584738e+23
0,scaled,1e-06,1.1792689976183436e+28,4.035380127352308e+27
0,scaled,1e-08,6.030731316551326e+30,4.0595462518246266e+30
1000,unscaled,1.0,2.1417692569979367e+21,4.104507761280206e+20
1000,unscaled,0.01,2.6497728359695264e+21,4.988955119821945e+20
1000,unscaled,0.0001,7.189899447529211e+26,1.8841773360912422e+26
1000,unscaled,1e-06,7.66731567683698e+30,1.4539783393957764e+30
1000,unscaled,1e-08,8.647727459789653e+34,9.966663971496358e+33
1000,scaled,1.0,2.530174815226481e+21,6.338344142855606e+20
1000,scaled,0.01,1.2763591879160337e+22,3.526094234711765e+21
1000,scaled,0.0001,5.706227310314447e+24,2.8194781810137457e+23
1000,scaled,1e-06,1.0907131611013617e+28,2.96297174279326e+27
1000,scaled,1e-08,5.978151287951955e+30,4.1109183045388613e+30
